Year,Observation status,Unit multiplier,Reporting type,SERIES,Type of product,UNIT_MEASURE,Base period,Value
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,0.00476
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,0.00501
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,0.00441
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,0.00452
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,0.00375
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,0.00384
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,0.0033
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00076
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00094
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00132
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00108
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00115
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00112
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.0011
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00095
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00087
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00077
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00095
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00092
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00065
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.0008
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00034
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00049
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00092
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00119
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00096
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,0.00092
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.16796
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.16794
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.15591
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.14773
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.1506
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.14164
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.13885
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.13627
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.12084
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.10154
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.09548
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.09925
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.08889
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.08711
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.11334
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.11815
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.12195
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.11876
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.11979
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,0.11801
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.09872
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.09904
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.09348
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.09068
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.093
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.08927
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.08618
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.0801
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.08157
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.07797
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.07371
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.07144
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.07146
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.06804
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.06015
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.05068
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.04445
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.04294
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.04227
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,0.03768
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02728
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.03188
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.0269
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02668
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02642
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02706
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02821
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02458
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02474
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02313
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.01894
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02077
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02409
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02474
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.02087
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.0121
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.00503
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.00454
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.00472
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,0.00304
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Kilograms per constant USD,2015,0.0
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.03874
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.03581
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.03608
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.03475
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.03718
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.03461
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.03231
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.0305
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.03079
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.02971
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.02858
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.02839
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.02718
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.02374
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.02188
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.0212
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.02057
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.02026
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.0191
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,0.01752
2000,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.0327
2001,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.03135
2002,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.0305
2003,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.02924
2004,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.0294
2005,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.0276
2006,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.02565
2007,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.02501
2008,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.02603
2009,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.02512
2010,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.02619
2011,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.02227
2012,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.02019
2013,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.01955
2014,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.0174
2015,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.01738
2016,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.01885
2017,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.01815
2018,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.01846
2019,Normal value,Units,Global,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2015,0.01712
2000,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,809735769.15472
2001,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,843136053.28986
2002,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,805722329.70605
2003,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,800489799.59037
2004,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,818600009.58785
2005,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,807612914.39052
2006,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,825640265.53532
2007,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,826238342.80923
2008,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,765089461.01824
2009,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,679041940.86791
2010,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,660503063.81795
2011,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,656993815.88633
2012,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,645528837.0695
2013,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,642300551.76569
2014,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,725229719.364
2015,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,723633056.64487
2016,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,724831290.63855
2017,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,751086407.33645
2018,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,754360502.84312
2019,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,742849871.71633
2000,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,363061372.328
2001,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,373528177.982
2002,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,353083339.704
2003,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,345586315.737
2004,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,361521546.116
2005,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,348993437.899
2006,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,351014773.025
2007,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,353702512.424
2008,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,311644513.069
2009,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,248927064.69
2010,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,235769521.208
2011,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,244948089.982
2012,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,221754114.0575
2013,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,220958357.37204
2014,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,305128281.819
2015,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,330977658.94945
2016,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,348553978.26594
2017,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,348768837.77408
2018,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,354996771.06371
2019,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,354587855.58264
2000,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,17261880.75611
2001,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,17153578.709
2002,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,17506860.61622
2003,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,17225682.58189
2004,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,16782534.83489
2005,Normal value,Units,Global,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,17327001.445
