Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2014,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Data only for ≤2 Mbit/s Considered most of these subscriptions are at 2 Mbit/s.,0.0
2015,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Data only for ≤2 Mbit/s Considered most of these subscriptions are at 2 Mbit/s.,0.0
2016,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Data only for ≤2 Mbit/s Considered most of these subscriptions are at 2 Mbit/s.,0.0
2017,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,0.0
2018,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,0.0
2019,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,Ofcom,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,Obs_Value = 0;  Estimated breakdown based on data for residential connections.,0.0
2008,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.",,15266549.0
2009,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.",,11457811.0
2010,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.",,6301828.0
2011,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, estimated to be marginal.",5485439.0
2012,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, estimated to be marginal.",4789579.0
2013,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, estimated to be marginal.",3774383.0
2014,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, estimated to be marginal.",3066389.0
2015,C,Office of Communications,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, estimated to be marginal.",1726418.0
2016,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, estimated to be marginal.",1171786.0
2017,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.",787079.0
2018,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.",421072.0
2019,C,Ofcom,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,Ofcom,"Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.","Incl. <2 Mbit/s, Estimated breakdown based on data for residential connections.",267883.0
