Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2019,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,3.7087
2020,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,3.89409
2021,A,0,G,SG_INT_VRTDEV,IO_IBRD,PT,3.89244888249073
2000,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,5.0505
2005,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,5.0351
2010,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,5.0215
2015,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,4.48404
2016,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,4.48404
2017,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,4.48404
2018,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,4.484
2019,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,4.4542
2020,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,4.48345
2021,A,0,G,SG_INT_VRTDEV,IO_IFC,PT,4.43530285615146
2000,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,5.0279
2005,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.948
2010,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.8602
2015,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.2896
2016,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.069
2017,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.0357
2018,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.0348
2019,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.03481
2020,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.03267
2021,A,0,G,SG_INT_VRTDEV,IO_IMF,PT,4.02803213536696
2000,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5291
2005,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5236
2010,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5208
2015,A,0,G,SG_INT_VRTDEV,IO_UNGA,PT,0.5181
