Year,SERIES,UNIT_MEASURE,PRODUCT,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,BASE_PER,Value
2016,EN_MAT_DOMCMPT,T,MF4,A,0,G,,148904084.318
2017,EN_MAT_DOMCMPT,T,MF4,A,0,G,,145420037.456
2018,EN_MAT_DOMCMPT,T,MF4,A,0,G,,146524382.488
2019,EN_MAT_DOMCMPT,T,MF4,A,0,G,,133811088.00886
2000,EN_MAT_DOMCMPT,T,MF41,A,0,G,,61779000.0
2001,EN_MAT_DOMCMPT,T,MF41,A,0,G,,74157000.0
2002,EN_MAT_DOMCMPT,T,MF41,A,0,G,,63951000.0
2003,EN_MAT_DOMCMPT,T,MF41,A,0,G,,65529000.0
2004,EN_MAT_DOMCMPT,T,MF41,A,0,G,,66369000.0
2005,EN_MAT_DOMCMPT,T,MF41,A,0,G,,69979000.0
2006,EN_MAT_DOMCMPT,T,MF41,A,0,G,,74935000.0
2007,EN_MAT_DOMCMPT,T,MF41,A,0,G,,66834000.0
2008,EN_MAT_DOMCMPT,T,MF41,A,0,G,,67082000.0
2009,EN_MAT_DOMCMPT,T,MF41,A,0,G,,60127000.0
2010,EN_MAT_DOMCMPT,T,MF41,A,0,G,,50249000.0
2011,EN_MAT_DOMCMPT,T,MF41,A,0,G,,55823000.0
2012,EN_MAT_DOMCMPT,T,MF41,A,0,G,,65656000.0
2013,EN_MAT_DOMCMPT,T,MF41,A,0,G,,68911000.0
2014,EN_MAT_DOMCMPT,T,MF41,A,0,G,,59780000.0
2015,EN_MAT_DOMCMPT,T,MF41,A,0,G,,35478000.0
2016,EN_MAT_DOMCMPT,T,MF41,A,0,G,,15015000.0
2017,EN_MAT_DOMCMPT,T,MF41,A,0,G,,13770000.0
2018,EN_MAT_DOMCMPT,T,MF41,A,0,G,,14503000.0
2019,EN_MAT_DOMCMPT,T,MF41,A,0,G,,9474007.14286
2000,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2001,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2002,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2003,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2004,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2005,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2006,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2007,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2008,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2009,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2010,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2011,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2012,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2013,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2014,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2015,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2016,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2017,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2018,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2019,EN_MAT_DOMCMPT,T,MF413,A,0,G,,0.0
2000,EN_MAT_DOMCMPT,T,MF421,A,0,G,,87714000.0
2001,EN_MAT_DOMCMPT,T,MF421,A,0,G,,83312000.0
2002,EN_MAT_DOMCMPT,T,MF421,A,0,G,,85768000.0
2003,EN_MAT_DOMCMPT,T,MF421,A,0,G,,85352000.0
2004,EN_MAT_DOMCMPT,T,MF421,A,0,G,,93388000.0
2005,EN_MAT_DOMCMPT,T,MF421,A,0,G,,89506000.0
2006,EN_MAT_DOMCMPT,T,MF421,A,0,G,,85826000.0
2007,EN_MAT_DOMCMPT,T,MF421,A,0,G,,82931000.0
2008,EN_MAT_DOMCMPT,T,MF421,A,0,G,,83471000.0
2009,EN_MAT_DOMCMPT,T,MF421,A,0,G,,77236000.0
2010,EN_MAT_DOMCMPT,T,MF421,A,0,G,,75834000.0
2011,EN_MAT_DOMCMPT,T,MF421,A,0,G,,76304000.0
2012,EN_MAT_DOMCMPT,T,MF421,A,0,G,,74089000.0
2013,EN_MAT_DOMCMPT,T,MF421,A,0,G,,66132000.0
2014,EN_MAT_DOMCMPT,T,MF421,A,0,G,,62699000.0
2015,EN_MAT_DOMCMPT,T,MF421,A,0,G,,62184000.0
2016,EN_MAT_DOMCMPT,T,MF421,A,0,G,,61378000.0
2017,EN_MAT_DOMCMPT,T,MF421,A,0,G,,61486000.0
2018,EN_MAT_DOMCMPT,T,MF421,A,0,G,,58685000.0
2019,EN_MAT_DOMCMPT,T,MF421,A,0,G,,54507414.28571
2000,EN_MAT_DOMCMPT,T,MF422,A,0,G,,74051738.91
2001,EN_MAT_DOMCMPT,T,MF422,A,0,G,,72924243.79
2002,EN_MAT_DOMCMPT,T,MF422,A,0,G,,72488660.05
2003,EN_MAT_DOMCMPT,T,MF422,A,0,G,,71808564.94
2004,EN_MAT_DOMCMPT,T,MF422,A,0,G,,73858458.49
2005,EN_MAT_DOMCMPT,T,MF422,A,0,G,,71383088.25
2006,EN_MAT_DOMCMPT,T,MF422,A,0,G,,68129946.88
2007,EN_MAT_DOMCMPT,T,MF422,A,0,G,,67991955.97
2008,EN_MAT_DOMCMPT,T,MF422,A,0,G,,70582638.8
2009,EN_MAT_DOMCMPT,T,MF422,A,0,G,,65313629.88
2010,EN_MAT_DOMCMPT,T,MF422,A,0,G,,69492709.81
2011,EN_MAT_DOMCMPT,T,MF422,A,0,G,,59851033.65
2012,EN_MAT_DOMCMPT,T,MF422,A,0,G,,55042925.23
2013,EN_MAT_DOMCMPT,T,MF422,A,0,G,,54460325.93
2014,EN_MAT_DOMCMPT,T,MF422,A,0,G,,49864550.04
2015,EN_MAT_DOMCMPT,T,MF422,A,0,G,,50984958.06
2016,EN_MAT_DOMCMPT,T,MF422,A,0,G,,56225195.93
2017,EN_MAT_DOMCMPT,T,MF422,A,0,G,,55074467.17
2018,EN_MAT_DOMCMPT,T,MF422,A,0,G,,56731011.07
2019,EN_MAT_DOMCMPT,T,MF422,A,0,G,,53282322.76429
