Year,COMMENT_OBS,SERIES,CUST_BREAKDOWN,CUST_BREAKDOWN_LB,Value
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C156,China,7.44885
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C156,China,2.43196
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C156,China,2.20713
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C156,China,2.07417
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C231,Ethiopia,12.08252
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C231,Ethiopia,9.74657
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C231,Ethiopia,5.66472
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C231,Ethiopia,5.44876
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C232,Eritrea,9.66667
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C232,Eritrea,13.63374
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C232,Eritrea,11.64296
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C270,Gambia,13.64249
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C270,Gambia,6.10154
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C270,Gambia,6.09887
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C270,Gambia,6.35886
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C288,Ghana,6.55722
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C288,Ghana,2.82843
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C288,Ghana,2.6895
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C288,Ghana,1.54571
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C356,India,4.48001
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C356,India,0.11234
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C356,India,0.57189
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C356,India,-0.04035
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C388,Jamaica,8.57534
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C388,Jamaica,5.86408
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C388,Jamaica,5.99303
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C388,Jamaica,6.42265
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C404,Kenya,6.66103
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C404,Kenya,2.21451
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C404,Kenya,2.32206
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C404,Kenya,1.2594
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C422,Lebanon,19.0247
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C422,Lebanon,8.93644
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C422,Lebanon,7.43055
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C440,Lithuania,7.94171
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C440,Lithuania,1.59625
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C440,Lithuania,1.25433
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C440,Lithuania,0.73337
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C50,Bangladesh,6.07263
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C50,Bangladesh,3.29793
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C50,Bangladesh,2.62472
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C50,Bangladesh,2.30805
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C524,Nepal,8.14847
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C524,Nepal,5.94243
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C524,Nepal,5.28434
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C524,Nepal,4.85054
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C566,Nigeria,7.16573
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C566,Nigeria,4.83867
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C566,Nigeria,2.75769
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C566,Nigeria,4.75291
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C586,Pakistan,5.26778
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C586,Pakistan,1.26418
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C586,Pakistan,1.83904
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C586,Pakistan,2.34338
2016,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C608,Philippines,7.77746
2017,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C608,Philippines,2.48197
2018,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SI_RMT_COST_SC,C608,Philippines,2.52014
