Year,Age,Sex,Disability status,Ethnicity,Ethnic group,Employment status,Region,Local Authority,Observation status,Unit multiplier,GeoCode,Value
2014,65 to 74,,,,,,,,Undefined,Units,,65.5
2014,75 and over,,,,,,,,Undefined,Units,,31.9
2014,,,,White,,,,,Undefined,Units,,84.7
2014,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,95.2
2014,,,,Asian/Asian British,Indian,,,,Undefined,Units,,85.8
2014,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,79.2
2014,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,86.9
2014,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,90.8
2014,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,90.4
2014,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,87.7
2014,,,,Other ethnic group,,,,,Undefined,Units,,88.0
2015,,,,,,,,,Undefined,Units,,86.2
2015,16 to 24,,,,,,,,Undefined,Units,,98.8
2015,25 to 34,,,,,,,,Undefined,Units,,98.6
2015,35 to 44,,,,,,,,Undefined,Units,,97.3
2015,45 to 54,,,,,,,,Undefined,Units,,93.6
2015,55 to 64,,,,,,,,Undefined,Units,,86.7
2015,65 to 74,,,,,,,,Undefined,Units,,70.6
2015,75 and over,,,,,,,,Undefined,Units,,33.0
2015,,,,White,,,,,Undefined,Units,,85.9
2015,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,97.0
2015,,,,Asian/Asian British,Indian,,,,Undefined,Units,,87.8
2015,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,85.7
2015,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,83.1
2015,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,92.6
2015,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,91.0
2015,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,87.7
2015,,,,Other ethnic group,,,,,Undefined,Units,,90.5
2016,,,,,,,,,Undefined,Units,,87.9
2016,16 to 24,,,,,,,,Undefined,Units,,99.2
2016,25 to 34,,,,,,,,Undefined,Units,,98.9
2016,35 to 44,,,,,,,,Undefined,Units,,98.2
2016,45 to 54,,,,,,,,Undefined,Units,,94.9
2016,55 to 64,,,,,,,,Undefined,Units,,88.3
2016,65 to 74,,,,,,,,Undefined,Units,,74.1
2016,75 and over,,,,,,,,Undefined,Units,,38.7
2016,,,,White,,,,,Undefined,Units,,87.4
2016,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,95.4
2016,,,,Asian/Asian British,Indian,,,,Undefined,Units,,88.9
2016,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,88.1
2016,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,86.5
2016,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,96.4
2016,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,92.7
2016,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,90.5
2016,,,,Other ethnic group,,,,,Undefined,Units,,94.2
2017,,,,,,,,,Undefined,Units,,88.9
2017,16 to 24,,,,,,,,Undefined,Units,,99.2
2017,25 to 34,,,,,,,,Undefined,Units,,99.1
2017,35 to 44,,,,,,,,Undefined,Units,,98.4
2017,45 to 54,,,,,,,,Undefined,Units,,96.2
2017,55 to 64,,,,,,,,Undefined,Units,,90.0
2017,65 to 74,,,,,,,,Undefined,Units,,77.5
2017,75 and over,,,,,,,,Undefined,Units,,40.5
2017,,,,White,,,,,Undefined,Units,,88.4
2017,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,96.2
2017,,,,Asian/Asian British,Indian,,,,Undefined,Units,,90.6
2017,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,90.3
2017,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,87.0
2017,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,98.3
2017,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,93.1
2017,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,92.1
2017,,,,Other ethnic group,,,,,Undefined,Units,,94.1
2018,,,,,,,,,Undefined,Units,,89.8
2018,16 to 24,,,,,,,,Undefined,Units,,99.3
2018,25 to 34,,,,,,,,Undefined,Units,,99.2
2018,35 to 44,,,,,,,,Undefined,Units,,98.6
2018,45 to 54,,,,,,,,Undefined,Units,,96.8
2018,55 to 64,,,,,,,,Undefined,Units,,91.8
2018,65 to 74,,,,,,,,Undefined,Units,,80.2
2018,75 and over,,,,,,,,Undefined,Units,,43.6
2018,,,,White,,,,,Undefined,Units,,89.3
2018,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,97.9
2018,,,,Asian/Asian British,Indian,,,,Undefined,Units,,92.7
2018,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,92.8
2018,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,90.7
2018,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,97.6
2018,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,96.4
2018,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,91.2
2018,,,,Other ethnic group,,,,,Undefined,Units,,95.4
2019,,,,,,,,,Undefined,Units,,90.8
2019,16 to 24,,,,,,,,Undefined,Units,,99.2
2019,25 to 34,,,,,,,,Undefined,Units,,99.4
2019,35 to 44,,,,,,,,Undefined,Units,,98.9
2019,45 to 54,,,,,,,,Undefined,Units,,97.5
2019,55 to 64,,,,,,,,Undefined,Units,,93.2
2019,65 to 74,,,,,,,,Undefined,Units,,83.2
2019,75 and over,,,,,,,,Undefined,Units,,46.8
2019,,,,White,,,,,Undefined,Units,,90.5
2019,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,96.0
2019,,,,Asian/Asian British,Indian,,,,Undefined,Units,,90.4
2019,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,91.1
2019,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,91.9
2019,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,98.6
2019,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,95.6
2019,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,92.8
2019,,,,Other ethnic group,,,,,Undefined,Units,,94.5
2020,,,,,,,,,Undefined,Units,,92.1
2020,16 to 24,,,,,,,,Undefined,Units,,99.5
2020,25 to 34,,,,,,,,Undefined,Units,,99.5
2020,35 to 44,,,,,,,,Undefined,Units,,99.1
2020,45 to 54,,,,,,,,Undefined,Units,,97.9
2020,55 to 64,,,,,,,,Undefined,Units,,94.6
2020,65 to 74,,,,,,,,Undefined,Units,,85.5
2020,75 and over,,,,,,,,Undefined,Units,,54.0
2020,,,,White,,,,,Undefined,Units,,91.6
2020,,,,Mixed/Multiple ethnic background,,,,,Undefined,Units,,99.2
2020,,,,Asian/Asian British,Indian,,,,Undefined,Units,,96.3
2020,,,,Asian/Asian British,Pakistani,,,,Undefined,Units,,91.7
2020,,,,Asian/Asian British,Bangladeshi,,,,Undefined,Units,,87.8
2020,,,,Asian/Asian British,Chinese,,,,Undefined,Units,,97.6
2020,,,,Asian/Asian British,Any other Asian background,,,,Undefined,Units,,96.8
2020,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,,95.4
2020,,,,Other ethnic group,,,,,Undefined,Units,,97.6
