Year,COMMENT_OBS,SERIES,UNIT_MEASURE,BASE_PER,Value
2016,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,5661.0
2017,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,6292.0
2018,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,6259.0
2019,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LDCS,CON_USD,2019,5769.5
2000,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,1097.0
2001,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,1034.0
2002,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,955.0
2003,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,1295.0
2004,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,1583.0
2005,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,1274.0
2006,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,1976.0
2007,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,1708.0
2008,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,1828.0
2009,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,2120.0
2010,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,2415.0
2011,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,2615.0
2012,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,2481.0
2013,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,3079.0
2014,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,3029.0
2015,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,3204.0
2016,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,3289.0
2017,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,3279.0
2018,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,3493.0
2019,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_LLDC,CON_USD,2019,3081.0
2000,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.06
2001,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.06
2002,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.05
2003,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.07
2004,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.08
2005,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.06
2006,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.09
2007,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.08
2008,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.08
2009,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.1
2010,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.11
2011,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.12
2012,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.11
2013,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.13
2014,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.13
2015,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.13
2016,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.13
2017,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.12
2018,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.13
2019,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LLDCG,PT,,0.11
2000,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,235.0
2001,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,193.0
2002,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,228.0
2003,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,157.0
2004,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,151.0
2005,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,166.0
2006,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,93.0
2007,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,141.0
2008,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,180.0
2009,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,262.0
2010,"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",DC_ODA_SIDS,CON_USD,2019,309.0
